menu_key	menu_name_en	stock_status
	--- Loaf Bread ---	
milk-bread	Milk Bread	sold_out
sugar-toast	Sugar Toast	sold_out
whole-wheat-bread	Whole Wheat Bread	in_stock
cashew-strawberry-jam-toast	Cashew Strawberry Jam Toast	sold_out
cashew-chestnut-bread	Cashew Chestnut Bread	in_stock
egg-mayo-sandwich	Egg Mayo Sandwich	in_stock
	--- Artisan Bread ---	
wine-fig-cream-cheese-sourdough	Wine Fig Cream Cheese Sourdough	sold_out
honey-sweet-potato-sourdough	Honey Sweet Potato Sourdough	sold_out
chestnut-sourdough	Chestnut Sourdough	sold_out
chocolate-baguette	Chocolate Baguette	sold_out
fig-cream-cheese-baguette	Fig Cream Cheese Baguette	sold_out
red-bean-butter-baguette	Red Bean Butter Baguette	sold_out
kaya-jam-butter-baguette	Kaya Jam Butter Baguette	in_stock
peach-cream-cheese-ciabatta	Peach Cream Cheese Ciabatta	in_stock
basil-tomato-olive-cheese-ciabatta	Basil Tomato Olive Cheese Ciabatta	in_stock
plain-ciabatta	Plain Ciabatta	in_stock
	--- Salt Bread & Bagel ---	
salt-bread	Salt Bread	sold_out
cashew-salt-bread	Cashew Salt Bread	sold_out
red-bean-butter-salt-bread	Red Bean Butter Salt Bread	in_stock
green-onion-cream-cheese-salt-bread	Green Onion Cream Cheese Salt Bread	in_stock
corn-cheese-salt-bread	Corn Cheese Salt Bread	sold_out
sriracha-mayo-sausage-salt-bread	Sriracha Mayo Sausage Salt Bread	in_stock
plain-bagel	Plain Bagel	in_stock
salt-bagel	Salt Bagel	sold_out
olive-cheese-bagel	Olive Cheese Bagel	in_stock
potato-cheese-bagel	Potato Cheese Bagel	sold_out
	--- Sweet Bread ---	
cashew-cinnamon-roll	Cashew Cinnamon Roll	in_stock
condensed-milk-bread	Condensed Milk Bread	in_stock
cashew-bun	Cashew Bun	in_stock
cream-cashew-bun	Cream Cashew Bun	in_stock
cashew-butter-cream-sand	Cashew Butter Cream Sand	in_stock
cream-cheese-roll-bread	Cream Cheese Roll Bread	in_stock
condensed-coffee-bread	Condensed Coffee Bread	sold_out
blueberry-bread	Blueberry Bread	sold_out
sweet-potato-bread	Sweet Potato Bread	in_stock
cream-cheese-cashew-bread	Cream Cheese Cashew Bread	in_stock
cranberry-cream-cheese-bread	Cranberry Cream Cheese Bread	in_stock
sausage-bread	Sausage Bread	in_stock
sweet-red-bean-bread	Sweet Red Bean Bread	in_stock
butter-mochi	Butter Mochi	in_stock
garlic-cream-cheese-baguette	Garlic Cream Cheese Baguette	in_stock
shrimp-baguette	Shrimp Baguette	in_stock
	--- Cookie & Small Sweets ---	
cashew-ball-cookie-large	Cashew Ball Cookie (Large)	in_stock
cashew-ball-cookie-small	Cashew Ball Cookie (Small)	in_stock
cashew-crunch-toffee	Cashew Crunch Toffee	sold_out
dark-chocolate-cashew-cookie	Dark Chocolate Cashew Cookie	in_stock
white-chocolate-cashew-cookie	White Chocolate Cashew Cookie	in_stock
caramel-cashew-rocher-chocolate	Caramel Cashew Rocher Chocolate	in_stock
double-berry-jam-cookie	Double Berry Jam Cookie	sold_out
milk-ganache-cookie	Milk Ganache Cookie	in_stock
cashew-cocoa-crispy-cookie	Cashew Cocoa Crispy Cookie	in_stock
	--- Scone ---	
chocolate-cashew-mini-scone	Chocolate Cashew Mini Scone	in_stock
cashew-mini-scone	Cashew Mini Scone	in_stock
chocolate-cashew-scone	Chocolate Cashew Scone	in_stock
cashew-nut-scone	Cashew Nut Scone	in_stock
	--- Cake & Madeleine ---	
earl-grey-madeleine	Earl Grey Madeleine	in_stock
lemon-madeleine	Lemon Madeleine	in_stock
chocolate-madeleine	Chocolate Madeleine	in_stock
cashew-gianduja-madeleine	Cashew Gianduja Madeleine	in_stock
matcha-white-chocolate-madeleine	Matcha White Chocolate Madeleine	in_stock
cashew-carrot-cake	Cashew Carrot Cake	in_stock
double-chocolate-muffin	Double Chocolate Muffin	in_stock
	--- Gift Set ---	
cashew-house-gift-set-25	Cashew House Gift Set 25	in_stock
cashew-house-gift-set-30	Cashew House Gift Set 30	in_stock
cashew-house-gift-set-66	Cashew House Gift Set 66	in_stock
	--- Jam & Spread ---	
cashew-basil-pesto	Cashew Basil Pesto	in_stock
homemade-raspberry-jam	Homemade Raspberry Jam	sold_out
homemade-blueberry-jam	Homemade Blueberry Jam	in_stock
	--- Cashew Product ---	
dream-cashew-nut-210g	Dream Cashew Nut 210g	in_stock
nuridal-cashew-nut-70g	NURIDAL Cashew Nut 70g	in_stock
nuridal-cashew-nut-250g	NURIDAL Cashew Nut 250g	in_stock
nuridal-cashew-nut-500g	NURIDAL Cashew Nut 500g	in_stock
